segment,city,job_type,scenario,r,price,conversion,earn,churn,serv_peak,serv_annual,demand,fulfilled,promised,gross,repl,net,extrapolated,status,floor_gap,binds
Delhi / plumbing,Delhi,plumbing,Single-sided (in-sample),1.05,313.95,0.35993907887130505,193.81845,0.3590620534259334,1.0,1.0,3462.253999663084,3462.253999663084,276919.73052805255,276919.73052805255,43087.44641111201,233832.28411694054,False,,0.0,partner-earnings floor
Delhi / plumbing,Delhi,plumbing,Two-sided (in-sample),1.05,313.95,0.35993907887130505,193.81845,0.3590620534259334,1.0,1.0,3462.253999663084,3462.253999663084,276919.73052805255,276919.73052805255,43087.44641111201,233832.28411694054,False,floor not reachable,26.181549999999987,
Delhi / plumbing,Delhi,plumbing,Two-sided (full band),1.25,373.75,0.35993907887130505,230.73624999999998,0.21066492271752355,1.0,1.0,3462.253999663084,3462.253999663084,349384.70674100093,349384.70674100093,25279.790726102827,324104.9160148981,True,feasible,0.0,
Delhi / salon at home,Delhi,salon_at_home,Status quo,1.0,999.0,0.350880963561861,604.8594999999999,0.030000188613334644,1.0,1.0,4996.194040157339,4996.194040157339,1247799.4615292954,1247799.4615292954,3600.0226336001574,1244199.4388956954,False,,0.0,
Delhi / salon at home,Delhi,salon_at_home,Single-sided (in-sample),0.85,849.15,0.4591326491598152,514.1305749999999,0.030005973182356937,1.0,1.0,6537.589791386608,6537.589791386608,1289882.8098150562,1289882.8098150562,3600.7167818828325,1286282.0930331734,False,,0.0,
Delhi / salon at home,Delhi,salon_at_home,Two-sided (in-sample),0.85,849.15,0.4591326491598152,514.1305749999999,0.030005973182356937,1.0,1.0,6537.589791386608,6537.589791386608,1289882.8098150562,1289882.8098150562,3600.7167818828325,1286282.0930331734,False,feasible,0.0,
Delhi / salon at home,Delhi,salon_at_home,Two-sided (full band),0.85,849.15,0.4591326491598152,514.1305749999999,0.030005973182356937,1.0,1.0,6537.589791386608,6537.589791386608,1289882.8098150562,1289882.8098150562,3600.7167818828325,1286282.0930331734,False,feasible,0.0,
Hyderabad / appliance repair,Hyderabad,appliance_repair,Status quo,1.0,349.0,0.3590897428231239,213.87624999999997,0.2806767981820068,1.0,1.0,3227.857698237061,3227.857698237061,281630.5841711836,281630.5841711836,33681.215781840816,247949.36838934277,False,,0.0,
Hyderabad / appliance repair,Hyderabad,appliance_repair,Single-sided (in-sample),1.05,366.45,0.3510113493995375,224.57006249999998,0.23586142146323752,1.0,1.0,3155.2410197524428,3155.2410197524428,294565.4135015386,294565.4135015386,28303.370575588502,266262.04292595014,False,,0.0,
Hyderabad / appliance repair,Hyderabad,appliance_repair,Two-sided (in-sample),1.05,366.45,0.3510113493995375,224.57006249999998,0.23586142146323752,1.0,1.0,3155.2410197524428,3155.2410197524428,294565.4135015386,294565.4135015386,28303.370575588502,266262.04292595014,False,feasible,0.0,
Hyderabad / appliance repair,Hyderabad,appliance_repair,Two-sided (full band),1.25,436.25,0.3228577694723917,267.3453125,0.09678102621094949,1.0,1.0,2902.168489787329,2902.168489787329,341839.170990825,341839.170990825,11613.723145313937,330225.4478455111,True,feasible,0.0,
Hyderabad / cleaning,Hyderabad,cleaning,Status quo,1.0,499.0,0.34857032273067184,309.47349999999994,0.04494492617715879,1.0,1.0,5097.492399613346,5097.492399613346,635912.1768517648,635912.1768517648,5393.391141259055,630518.7857105057,False,,0.0,
Hyderabad / cleaning,Hyderabad,cleaning,Single-sided (in-sample),1.05,523.95,0.3312088385512085,324.94717499999996,0.03840011925124753,1.0,1.0,4843.598054972873,4843.598054972873,646535.5773729164,646535.5773729164,4608.014310149704,641927.5630627667,False,,0.0,
Hyderabad / cleaning,Hyderabad,cleaning,Two-sided (in-sample),1.05,523.95,0.3312088385512085,324.94717499999996,0.03840011925124753,1.0,1.0,4843.598054972873,4843.598054972873,646535.5773729164,646535.5773729164,4608.014310149704,641927.5630627667,False,feasible,0.0,
Hyderabad / cleaning,Hyderabad,cleaning,Two-sided (full band),1.25,623.75,0.2730326088413291,386.84187499999996,0.030798732517147008,1.0,1.0,3992.828871695597,3992.828871695597,672442.2923544346,672442.2923544346,3695.847902057641,668746.4444523769,True,feasible,0.0,
Hyderabad / pest control,Hyderabad,pest_control,Status quo,1.0,799.0,0.3482327658627163,491.463,0.03001577540535777,1.0,1.0,1921.2001692646058,1921.2001692646058,383759.73381060496,383759.73381060496,3601.893048642932,380157.840761962,False,,0.0,
Hyderabad / pest control,Hyderabad,pest_control,Single-sided (in-sample),0.835,667.165,0.4726474823939465,410.371605,0.030342797982546854,1.0,1.0,2607.5961603674027,2607.5961603674027,400546.9791026758,400546.9791026758,3641.1357579056225,396905.8433447702,False,,0.0,
Hyderabad / pest control,Hyderabad,pest_control,Two-sided (in-sample),0.84,671.16,0.4683807214655375,412.82892,0.030312201110163767,1.0,1.0,2584.05644032537,2584.05644032537,400544.25258907425,400544.25258907425,3637.464133219652,396906.7884558546,False,feasible,0.0,
Hyderabad / pest control,Hyderabad,pest_control,Two-sided (full band),0.84,671.16,0.4683807214655375,412.82892,0.030312201110163767,1.0,1.0,2584.05644032537,2584.05644032537,400544.25258907425,400544.25258907425,3637.464133219652,396906.7884558546,False,feasible,0.0,
Hyderabad / plumbing,Hyderabad,plumbing,Status quo,1.0,299.0,0.3537767881734459,185.186,0.38571899572585605,1.0,1.0,2556.0372945531467,2556.0372945531467,191063.78776784768,191063.78776784768,46286.27948710272,144777.50828074495,False,,0.0,
Hyderabad / plumbing,Hyderabad,plumbing,Single-sided (in-sample),1.05,313.95,0.3425245262979913,194.4453,0.3560464261687133,1.0,1.0,2474.7397025029873,2474.7397025029873,197935.86825544515,197935.86825544515,42725.57114024559,155210.29711519956,False,,0.0,partner-earnings floor
Hyderabad / plumbing,Hyderabad,plumbing,Two-sided (in-sample),1.05,313.95,0.3425245262979913,194.4453,0.3560464261687133,1.0,1.0,2474.7397025029873,2474.7397025029873,197935.86825544515,197935.86825544515,42725.57114024559,155210.29711519956,False,floor not reachable,25.554699999999997,
Hyderabad / plumbing,Hyderabad,plumbing,Two-sided (full band),1.25,373.75,0.3038016951924166,231.48250000000002,0.2082118896100511,1.0,1.0,2194.9672477652102,2194.9672477652102,221499.63239010677,221499.63239010677,24985.42675320613,196514.20563690065,True,feasible,0.0,
Hyderabad / salon at home,Hyderabad,salon_at_home,Status quo,1.0,999.0,0.3522381113435788,629.172,0.030000093170532087,1.0,1.0,3893.64008279192,3893.64008279192,972436.610677282,972436.610677282,3600.0111804638505,968836.5994968181,False,,0.0,
Hyderabad / salon at home,Hyderabad,salon_at_home,Single-sided (in-sample),0.8,799.2,0.5727674433512265,503.33760000000007,0.030010235684523667,1.0,1.0,6331.371318804458,6331.371318804458,1138507.1905474174,1138507.1905474174,3601.2282821428403,1134905.9622652745,False,,0.0,
Hyderabad / salon at home,Hyderabad,salon_at_home,Two-sided (in-sample),0.8,799.2,0.5727674433512265,503.33760000000007,0.030010235684523667,1.0,1.0,6331.371318804458,6331.371318804458,1138507.1905474174,1138507.1905474174,3601.2282821428403,1134905.9622652745,False,feasible,0.0,
Hyderabad / salon at home,Hyderabad,salon_at_home,Two-sided (full band),0.8,799.2,0.5727674433512265,503.33760000000007,0.030010235684523667,1.0,1.0,6331.371318804458,6331.371318804458,1138507.1905474174,1138507.1905474174,3601.2282821428403,1134905.9622652745,False,feasible,0.0,
