partner_id,city,skill,tenure_months,jobs_done,earnings_per_job,churn_probability,churn_flag,active_flag
P00038,Delhi,cleaning,6,58,296.19,0.0504,0,1
P00039,Delhi,cleaning,13,100,324.14,0.0369,0,1
P00040,Delhi,cleaning,24,219,283.66,0.0627,0,1
P00041,Delhi,appliance_repair,33,247,232.5,0.1999,1,0
P00042,Delhi,appliance_repair,6,44,236.91,0.1817,0,1
P00043,Delhi,appliance_repair,16,113,198.35,0.3468,0,1
P00044,Delhi,appliance_repair,6,52,201.89,0.3331,0,1
P00045,Delhi,appliance_repair,1,9,234.78,0.1904,1,0
P00046,Delhi,appliance_repair,26,210,197.63,0.3495,1,0
P00047,Delhi,appliance_repair,27,244,214.03,0.2817,0,1
P00048,Delhi,appliance_repair,16,140,203.38,0.3272,0,1
P00049,Delhi,appliance_repair,28,243,211.54,0.2927,0,1
P00050,Delhi,appliance_repair,22,173,232.18,0.2012,0,1
P00051,Delhi,appliance_repair,20,150,229.87,0.2112,1,0
P00052,Delhi,appliance_repair,9,56,199.45,0.3426,0,1
P00053,Delhi,appliance_repair,12,85,199.79,0.3413,1,0
P00054,Delhi,appliance_repair,12,85,219.64,0.2566,0,1
P00055,Delhi,appliance_repair,29,224,232.52,0.1998,0,1
P00056,Delhi,appliance_repair,15,93,203.56,0.3264,1,0
P00057,Delhi,appliance_repair,24,189,209.77,0.3004,0,1
P00058,Delhi,appliance_repair,21,148,195.18,0.3583,0,1
P00059,Delhi,appliance_repair,25,212,228.17,0.2186,1,0
P00060,Delhi,appliance_repair,4,33,231.73,0.2032,0,1
P00061,Delhi,appliance_repair,29,238,199.16,0.3437,0,1
P00062,Delhi,appliance_repair,14,109,209.5,0.3016,0,1
P00063,Delhi,appliance_repair,27,211,206.29,0.3152,0,1
P00064,Delhi,appliance_repair,12,112,207.72,0.3092,0,1
P00065,Delhi,appliance_repair,35,287,216.99,0.2685,0,1
P00066,Delhi,appliance_repair,31,238,202.01,0.3327,0,1
P00067,Delhi,appliance_repair,19,136,197.14,0.3513,0,1
P00068,Delhi,appliance_repair,31,222,199.06,0.3441,0,1
P00069,Delhi,appliance_repair,7,58,228.9,0.2154,0,1
P00070,Delhi,appliance_repair,29,220,197.13,0.3513,0,1
P00071,Delhi,appliance_repair,7,57,213.96,0.282,0,1
P00072,Delhi,appliance_repair,7,62,215.15,0.2768,0,1
P00073,Delhi,appliance_repair,6,38,196.8,0.3525,0,1
P00074,Delhi,appliance_repair,34,268,223.28,0.2403,0,1
P00075,Delhi,appliance_repair,27,228,209.35,0.3022,0,1
P00076,Delhi,appliance_repair,33,245,235.29,0.1882,0,1
P00077,Delhi,appliance_repair,27,226,235.3,0.1882,0,1
P00078,Delhi,appliance_repair,14,111,237.59,0.179,0,1
P00079,Delhi,appliance_repair,31,226,221.73,0.2472,1,0
P00080,Delhi,appliance_repair,35,284,193.38,0.3646,0,1
P00081,Delhi,salon_at_home,27,207,609.39,0.03,0,1
P00082,Delhi,salon_at_home,30,266,566.31,0.03,0,1
P00083,Delhi,salon_at_home,2,13,565.77,0.03,0,1
P00084,Delhi,salon_at_home,32,264,563.69,0.03,0,1
P00085,Delhi,salon_at_home,32,243,652.83,0.03,0,1
P00086,Delhi,salon_at_home,2,22,556.64,0.03,1,0
P00087,Delhi,salon_at_home,6,50,582.93,0.03,0,1
P00088,Delhi,salon_at_home,2,23,642.61,0.03,0,1
P00089,Delhi,salon_at_home,17,125,617.47,0.03,0,1
P00090,Delhi,salon_at_home,2,11,577.02,0.03,0,1
P00091,Delhi,salon_at_home,4,20,557.45,0.03,0,1
P00092,Delhi,salon_at_home,26,217,563.86,0.03,0,1
P00093,Delhi,salon_at_home,14,111,634.6,0.03,0,1
P00094,Delhi,salon_at_home,36,278,642.83,0.03,0,1
P00095,Delhi,salon_at_home,16,114,604.42,0.03,0,1
P00096,Delhi,salon_at_home,34,249,588.06,0.03,0,1
P00097,Delhi,salon_at_home,23,188,605.43,0.03,0,1
P00098,Delhi,salon_at_home,16,118,593.12,0.03,0,1
P00099,Delhi,salon_at_home,11,87,626.29,0.03,0,1
P00100,Delhi,salon_at_home,16,135,636.68,0.03,0,1
P00101,Delhi,salon_at_home,9,73,633.25,0.03,0,1
P00102,Delhi,salon_at_home,29,232,667.06,0.03,0,1
P00103,Delhi,salon_at_home,31,249,592.79,0.03,0,1
P00104,Delhi,salon_at_home,19,152,561.31,0.03,0,1
P00105,Delhi,salon_at_home,30,230,574.41,0.03,0,1
P00106,Delhi,salon_at_home,3,28,659.37,0.03,0,1
P00107,Delhi,salon_at_home,15,107,567.49,0.03,0,1
P00108,Delhi,salon_at_home,14,121,641.25,0.03,0,1
P00109,Delhi,salon_at_home,28,230,579.1,0.03,0,1
P00110,Delhi,salon_at_home,14,100,660.56,0.03,0,1
P00111,Delhi,salon_at_home,35,259,602.93,0.03,0,1
P00112,Delhi,salon_at_home,21,178,612.9,0.03,0,1
P00113,Delhi,salon_at_home,12,111,582.19,0.03,0,1
P00114,Delhi,salon_at_home,7,56,616.01,0.03,0,1
P00115,Delhi,salon_at_home,10,90,636.25,0.03,0,1
P00116,Delhi,salon_at_home,9,79,599.56,0.03,0,1
P00117,Delhi,salon_at_home,32,274,651.77,0.03,0,1
P00118,Delhi,salon_at_home,13,104,628.2,0.03,0,1
P00119,Delhi,salon_at_home,14,112,565.58,0.03,0,1
P00120,Delhi,salon_at_home,13,121,575.0,0.03,0,1
P00121,Delhi,plumbing,12,94,188.46,0.3807,1,0
P00122,Delhi,plumbing,7,51,189.83,0.3764,0,1
P00123,Delhi,plumbing,29,231,200.31,0.3393,0,1
P00124,Delhi,plumbing,23,201,193.67,0.3636,0,1
P00125,Delhi,plumbing,24,202,178.67,0.4077,1,0
P00126,Delhi,plumbing,20,159,181.2,0.4014,0,1
P00127,Delhi,plumbing,24,194,201.14,0.3361,0,1
P00128,Delhi,plumbing,4,19,191.45,0.3711,0,1
P00129,Delhi,plumbing,24,210,196.33,0.3542,1,0
P00130,Delhi,plumbing,28,212,198.55,0.346,1,0
P00131,Delhi,plumbing,35,289,180.8,0.4024,0,1
P00132,Delhi,plumbing,19,158,198.35,0.3468,0,1
P00133,Delhi,plumbing,29,223,180.63,0.4028,1,0
P00134,Delhi,plumbing,31,270,168.49,0.4291,1,0
P00135,Delhi,plumbing,17,129,170.52,0.4254,0,1
P00136,Delhi,plumbing,26,212,200.78,0.3375,0,1
P00137,Delhi,plumbing,13,100,173.05,0.4203,1,0
P00138,Delhi,plumbing,5,39,178.54,0.408,0,1
P00139,Delhi,plumbing,32,268,176.26,0.4134,0,1
P00140,Delhi,plumbing,35,266,200.53,0.3384,0,1
P00141,Delhi,plumbing,36,292,176.83,0.412,1,0
P00142,Delhi,plumbing,27,208,199.18,0.3436,1,0
P00143,Delhi,plumbing,3,23,203.86,0.3252,0,1
P00144,Delhi,plumbing,21,180,187.05,0.385,1,0
P00145,Delhi,plumbing,16,155,182.03,0.3992,1,0
P00146,Delhi,plumbing,24,228,166.79,0.4321,1,0
P00147,Delhi,plumbing,21,166,177.35,0.4108,1,0
P00148,Delhi,plumbing,3,17,167.55,0.4308,0,1
P00149,Delhi,plumbing,17,129,181.39,0.4008,1,0
P00150,Delhi,plumbing,8,64,181.96,0.3993,0,1
P00151,Delhi,plumbing,17,127,174.62,0.417,0,1
P00152,Delhi,plumbing,31,257,178.05,0.4092,0,1
P00153,Delhi,plumbing,18,143,171.05,0.4244,1,0
P00154,Delhi,plumbing,2,17,187.32,0.3842,0,1
P00155,Delhi,plumbing,25,205,195.24,0.3581,0,1
P00156,Delhi,plumbing,31,236,182.86,0.3969,0,1
P00157,Delhi,plumbing,33,257,177.57,0.4103,0,1
P00158,Delhi,plumbing,36,293,181.29,0.4011,1,0
P00159,Delhi,plumbing,30,251,193.91,0.3628,1,0
P00160,Delhi,plumbing,3,31,170.1,0.4262,1,0
P00161,Delhi,pest_control,25,185,544.46,0.03,1,0
P00162,Delhi,pest_control,25,203,534.65,0.03,0,1
P00163,Delhi,pest_control,15,124,446.69,0.0301,0,1
P00164,Delhi,pest_control,20,152,528.31,0.03,1,0
P00165,Delhi,pest_control,2,13,498.94,0.03,0,1
P00166,Delhi,pest_control,22,183,500.34,0.03,0,1
P00167,Delhi,pest_control,26,205,442.74,0.0301,0,1
P00168,Delhi,pest_control,36,289,451.22,0.03,0,1
P00169,Delhi,pest_control,24,199,541.32,0.03,0,1
P00170,Delhi,pest_control,15,109,536.24,0.03,0,1
P00171,Delhi,pest_control,13,111,480.82,0.03,0,1
P00172,Delhi,pest_control,17,145,522.77,0.03,0,1
P00173,Delhi,pest_control,16,146,524.35,0.03,0,1
P00174,Delhi,pest_control,4,27,443.85,0.0301,0,1
P00175,Delhi,pest_control,36,299,482.44,0.03,0,1
P00176,Delhi,pest_control,14,115,483.94,0.03,0,1
P00177,Delhi,pest_control,21,167,480.63,0.03,0,1
P00178,Delhi,pest_control,34,251,512.55,0.03,0,1
P00179,Delhi,pest_control,1,6,495.67,0.03,0,1
P00180,Delhi,pest_control,35,268,491.46,0.03,0,1
P00181,Delhi,pest_control,9,72,467.67,0.03,0,1
P00182,Delhi,pest_control,24,203,535.1,0.03,0,1
P00183,Delhi,pest_control,23,216,455.76,0.03,0,1
P00184,Delhi,pest_control,36,290,529.3,0.03,0,1
P00185,Delhi,pest_control,15,108,458.1,0.03,0,1
P00186,Delhi,pest_control,20,163,472.2,0.03,0,1
P00187,Delhi,pest_control,31,261,462.93,0.03,0,1
P00188,Delhi,pest_control,15,105,451.88,0.03,0,1
P00189,Delhi,pest_control,7,48,488.17,0.03,0,1
P00190,Delhi,pest_control,31,258,532.29,0.03,0,1
P00191,Delhi,pest_control,20,150,458.2,0.03,0,1
P00192,Delhi,pest_control,20,178,495.22,0.03,0,1
P00193,Delhi,pest_control,17,137,455.13,0.03,0,1
P00194,Delhi,pest_control,20,189,540.46,0.03,0,1
P00195,Delhi,pest_control,14,102,444.57,0.0301,0,1
P00196,Delhi,pest_control,20,181,504.61,0.03,0,1
P00197,Delhi,pest_control,35,281,544.13,0.03,0,1
P00198,Delhi,pest_control,15,128,457.33,0.03,0,1
P00199,Delhi,pest_control,25,168,523.97,0.03,0,1
P00200,Delhi,pest_control,13,112,463.46,0.03,0,1
P00201,Hyderabad,cleaning,20,165,340.14,0.0337,0,1
P00202,Hyderabad,cleaning,16,105,284.07,0.0622,0,1
P00203,Hyderabad,cleaning,29,227,296.4,0.0502,0,1
P00204,Hyderabad,cleaning,23,182,314.6,0.04,0,1
P00205,Hyderabad,cleaning,23,178,319.69,0.0382,0,1
P00206,Hyderabad,cleaning,35,237,333.59,0.0347,0,1
P00207,Hyderabad,cleaning,10,81,295.32,0.0511,0,1
P00208,Hyderabad,cleaning,36,281,301.85,0.0464,0,1
P00209,Hyderabad,cleaning,6,48,302.9,0.0458,0,1
P00210,Hyderabad,cleaning,26,201,304.24,0.045,0,1
P00211,Hyderabad,cleaning,30,248,318.7,0.0385,1,0
P00212,Hyderabad,cleaning,4,29,326.18,0.0363,0,1
P00213,Hyderabad,cleaning,28,231,293.55,0.0526,0,1
P00214,Hyderabad,cleaning,9,66,334.75,0.0345,0,1
P00215,Hyderabad,cleaning,35,285,316.27,0.0394,0,1
P00216,Hyderabad,cleaning,20,167,301.65,0.0465,0,1
P00217,Hyderabad,cleaning,35,277,331.1,0.0352,0,1
P00218,Hyderabad,cleaning,22,178,316.71,0.0392,0,1
P00219,Hyderabad,cleaning,30,265,330.4,0.0354,0,1
P00220,Hyderabad,cleaning,9,78,325.17,0.0366,0,1
P00221,Hyderabad,cleaning,23,173,294.47,0.0518,0,1
P00222,Hyderabad,cleaning,17,139,289.89,0.0559,0,1
P00223,Hyderabad,cleaning,11,78,297.5,0.0494,0,1
P00224,Hyderabad,cleaning,31,266,325.93,0.0364,0,1
P00225,Hyderabad,cleaning,5,32,315.9,0.0395,0,1
P00226,Hyderabad,cleaning,15,106,293.25,0.0528,0,1
P00227,Hyderabad,cleaning,9,60,287.14,0.0587,0,1
P00228,Hyderabad,cleaning,24,194,320.21,0.038,0,1
P00229,Hyderabad,cleaning,1,8,319.31,0.0383,0,1
P00230,Hyderabad,cleaning,36,303,328.97,0.0357,0,1
P00231,Hyderabad,cleaning,15,128,307.57,0.0432,0,1
P00232,Hyderabad,cleaning,12,84,281.93,0.0649,0,1
P00233,Hyderabad,cleaning,12,77,275.73,0.0737,0,1
P00234,Hyderabad,cleaning,20,171,318.01,0.0388,0,1
P00235,Hyderabad,cleaning,13,92,329.09,0.0357,0,1
P00236,Hyderabad,cleaning,7,64,301.29,0.0468,0,1
P00237,Hyderabad,cleaning,22,186,324.37,0.0368,0,1
P00238,Hyderabad,cleaning,10,76,289.22,0.0566,0,1
P00239,Hyderabad,cleaning,35,252,287.07,0.0588,0,1
P00240,Hyderabad,cleaning,5,32,304.81,0.0446,0,1
P00241,Hyderabad,appliance_repair,7,48,222.59,0.2434,0,1
P00242,Hyderabad,appliance_repair,32,267,217.82,0.2648,0,1
P00243,Hyderabad,appliance_repair,14,76,220.12,0.2545,0,1
P00244,Hyderabad,appliance_repair,26,197,227.21,0.2228,0,1
P00245,Hyderabad,appliance_repair,13,101,216.5,0.2707,0,1
P00246,Hyderabad,appliance_repair,21,170,195.82,0.3561,1,0
P00247,Hyderabad,appliance_repair,1,8,219.4,0.2577,1,0
P00248,Hyderabad,appliance_repair,8,68,197.32,0.3506,1,0
P00249,Hyderabad,appliance_repair,4,26,231.85,0.2026,0,1
P00250,Hyderabad,appliance_repair,16,123,209.04,0.3036,1,0
P00251,Hyderabad,appliance_repair,34,302,197.7,0.3492,1,0
P00252,Hyderabad,appliance_repair,22,181,231.5,0.2042,0,1
P00253,Hyderabad,appliance_repair,4,29,218.99,0.2595,0,1
P00254,Hyderabad,appliance_repair,30,240,236.87,0.1818,0,1
P00255,Hyderabad,appliance_repair,29,236,207.39,0.3106,1,0
P00256,Hyderabad,appliance_repair,15,104,219.56,0.257,0,1
P00257,Hyderabad,appliance_repair,25,197,234.87,0.19,0,1
P00258,Hyderabad,appliance_repair,15,116,213.29,0.285,0,1
P00259,Hyderabad,appliance_repair,14,117,207.37,0.3106,0,1
P00260,Hyderabad,appliance_repair,17,132,200.36,0.3391,0,1
P00261,Hyderabad,appliance_repair,35,265,227.1,0.2233,0,1
P00262,Hyderabad,appliance_repair,15,123,195.21,0.3582,0,1
P00263,Hyderabad,appliance_repair,31,276,193.03,0.3658,1,0
P00264,Hyderabad,appliance_repair,15,126,194.03,0.3624,0,1
P00265,Hyderabad,appliance_repair,6,48,193.07,0.3657,0,1
P00266,Hyderabad,appliance_repair,31,240,209.75,0.3005,0,1
P00267,Hyderabad,appliance_repair,3,18,215.35,0.2759,0,1
P00268,Hyderabad,appliance_repair,10,91,219.78,0.256,0,1
P00269,Hyderabad,appliance_repair,21,148,214.68,0.2788,0,1
P00270,Hyderabad,appliance_repair,14,110,211.77,0.2917,1,0
P00271,Hyderabad,appliance_repair,32,274,206.61,0.3139,0,1
P00272,Hyderabad,appliance_repair,29,230,200.24,0.3396,0,1
P00273,Hyderabad,appliance_repair,5,42,213.77,0.2829,0,1
P00274,Hyderabad,appliance_repair,14,102,201.37,0.3351,0,1
P00275,Hyderabad,appliance_repair,7,72,229.53,0.2126,0,1
P00276,Hyderabad,appliance_repair,4,22,232.36,0.2005,0,1
P00277,Hyderabad,appliance_repair,13,102,217.08,0.2681,0,1
P00278,Hyderabad,appliance_repair,16,156,224.84,0.2333,0,1
P00279,Hyderabad,appliance_repair,19,166,195.54,0.3571,0,1
P00280,Hyderabad,appliance_repair,33,245,234.37,0.1921,0,1
P00281,Hyderabad,salon_at_home,26,206,677.76,0.03,0,1
P00282,Hyderabad,salon_at_home,15,109,677.19,0.03,0,1
P00283,Hyderabad,salon_at_home,25,209,678.69,0.03,0,1
P00284,Hyderabad,salon_at_home,32,289,655.3,0.03,0,1
P00285,Hyderabad,salon_at_home,14,118,611.22,0.03,0,1
P00286,Hyderabad,salon_at_home,20,155,563.6,0.03,0,1
P00287,Hyderabad,salon_at_home,21,166,631.46,0.03,0,1
P00288,Hyderabad,salon_at_home,29,214,678.67,0.03,0,1
P00289,Hyderabad,salon_at_home,14,103,571.9,0.03,0,1
P00290,Hyderabad,salon_at_home,19,140,670.45,0.03,0,1
P00291,Hyderabad,salon_at_home,24,179,632.18,0.03,0,1
P00292,Hyderabad,salon_at_home,23,214,563.71,0.03,0,1
P00293,Hyderabad,salon_at_home,15,143,652.05,0.03,0,1
P00294,Hyderabad,salon_at_home,16,116,636.78,0.03,0,1
P00295,Hyderabad,salon_at_home,6,42,573.88,0.03,0,1
P00296,Hyderabad,salon_at_home,16,116,616.58,0.03,0,1
P00297,Hyderabad,salon_at_home,2,16,606.72,0.03,0,1
P00298,Hyderabad,salon_at_home,19,155,634.75,0.03,0,1
P00299,Hyderabad,salon_at_home,22,175,613.71,0.03,0,1
P00300,Hyderabad,salon_at_home,36,306,653.47,0.03,0,1
P00301,Hyderabad,salon_at_home,17,150,597.1,0.03,0,1
P00302,Hyderabad,salon_at_home,23,179,657.42,0.03,0,1
P00303,Hyderabad,salon_at_home,2,15,648.73,0.03,0,1
P00304,Hyderabad,salon_at_home,27,202,649.0,0.03,0,1
P00305,Hyderabad,salon_at_home,27,199,589.78,0.03,0,1
P00306,Hyderabad,salon_at_home,10,92,643.92,0.03,0,1
P00307,Hyderabad,salon_at_home,28,223,587.46,0.03,0,1
P00308,Hyderabad,salon_at_home,13,90,643.51,0.03,0,1
P00309,Hyderabad,salon_at_home,16,138,657.8,0.03,0,1
P00310,Hyderabad,salon_at_home,18,157,598.81,0.03,0,1
P00311,Hyderabad,salon_at_home,9,69,649.58,0.03,0,1
P00312,Hyderabad,salon_at_home,17,128,608.94,0.03,0,1
P00313,Hyderabad,salon_at_home,31,235,672.73,0.03,0,1
P00314,Hyderabad,salon_at_home,14,116,681.67,0.03,0,1
P00315,Hyderabad,salon_at_home,16,146,611.81,0.03,0,1
P00316,Hyderabad,salon_at_home,33,264,625.74,0.03,0,1
P00317,Hyderabad,salon_at_home,24,172,654.94,0.03,0,1
P00318,Hyderabad,salon_at_home,31,271,604.11,0.03,0,1
P00319,Hyderabad,salon_at_home,30,271,624.29,0.03,0,1
P00320,Hyderabad,salon_at_home,22,161,559.47,0.03,0,1
P00321,Hyderabad,plumbing,28,241,172.66,0.4211,1,0
P00322,Hyderabad,plumbing,15,131,200.7,0.3378,1,0
P00323,Hyderabad,plumbing,11,98,175.93,0.4141,0,1
P00324,Hyderabad,plumbing,25,190,182.01,0.3992,1,0
P00325,Hyderabad,plumbing,28,237,197.66,0.3493,1,0
P00326,Hyderabad,plumbing,28,210,196.68,0.3529,1,0
P00327,Hyderabad,plumbing,6,53,172.54,0.4214,1,0
P00328,Hyderabad,plumbing,15,117,198.7,0.3455,0,1
P00329,Hyderabad,plumbing,27,212,174.75,0.4167,0,1
P00330,Hyderabad,plumbing,25,211,183.4,0.3955,1,0
P00331,Hyderabad,plumbing,7,55,196.14,0.3549,0,1
P00332,Hyderabad,plumbing,7,63,175.85,0.4143,1,0
P00333,Hyderabad,plumbing,10,99,173.93,0.4185,0,1
P00334,Hyderabad,plumbing,5,38,171.49,0.4235,0,1
P00335,Hyderabad,plumbing,16,118,198.28,0.347,0,1
P00336,Hyderabad,plumbing,29,219,198.91,0.3446,1,0
P00337,Hyderabad,plumbing,4,37,195.55,0.357,0,1
P00338,Hyderabad,plumbing,23,193,199.27,0.3433,0,1
P00339,Hyderabad,plumbing,36,306,176.39,0.4131,1,0
P00340,Hyderabad,plumbing,27,204,184.84,0.3914,0,1
P00341,Hyderabad,plumbing,31,236,191.55,0.3708,0,1
P00342,Hyderabad,plumbing,15,109,202.54,0.3305,0,1
P00343,Hyderabad,plumbing,30,246,203.55,0.3265,1,0
P00344,Hyderabad,plumbing,34,268,176.24,0.4134,0,1
P00345,Hyderabad,plumbing,22,168,178.29,0.4086,0,1
P00346,Hyderabad,plumbing,14,117,166.15,0.4332,1,0
P00347,Hyderabad,plumbing,34,275,167.34,0.4312,1,0
P00348,Hyderabad,plumbing,26,226,180.61,0.4029,0,1
P00349,Hyderabad,plumbing,32,268,198.88,0.3448,0,1
P00350,Hyderabad,plumbing,2,22,185.85,0.3885,0,1
P00351,Hyderabad,plumbing,29,219,202.45,0.3309,0,1
P00352,Hyderabad,plumbing,9,75,185.86,0.3885,0,1
P00353,Hyderabad,plumbing,5,43,199.72,0.3416,0,1
P00354,Hyderabad,plumbing,17,131,170.68,0.4251,0,1
P00355,Hyderabad,plumbing,7,69,171.77,0.4229,1,0
P00356,Hyderabad,plumbing,33,238,167.97,0.4301,0,1
P00357,Hyderabad,plumbing,4,25,187.75,0.3829,0,1
P00358,Hyderabad,plumbing,3,26,190.01,0.3758,0,1
P00359,Hyderabad,plumbing,34,269,183.38,0.3955,1,0
P00360,Hyderabad,plumbing,26,222,171.17,0.4241,1,0
P00361,Hyderabad,pest_control,29,224,530.4,0.03,0,1
P00362,Hyderabad,pest_control,31,261,463.95,0.03,0,1
P00363,Hyderabad,pest_control,24,183,471.55,0.03,0,1
P00364,Hyderabad,pest_control,33,270,506.22,0.03,0,1
P00365,Hyderabad,pest_control,12,101,449.14,0.03,0,1
P00366,Hyderabad,pest_control,25,196,464.54,0.03,0,1
P00367,Hyderabad,pest_control,30,227,498.14,0.03,0,1
P00368,Hyderabad,pest_control,27,215,505.82,0.03,0,1
P00369,Hyderabad,pest_control,34,273,518.05,0.03,0,1
P00370,Hyderabad,pest_control,18,144,537.18,0.03,0,1
P00371,Hyderabad,pest_control,21,203,460.24,0.03,0,1
P00372,Hyderabad,pest_control,17,118,486.31,0.03,0,1
P00373,Hyderabad,pest_control,20,146,475.33,0.03,0,1
P00374,Hyderabad,pest_control,27,212,465.41,0.03,0,1
P00375,Hyderabad,pest_control,35,293,545.2,0.03,0,1
P00376,Hyderabad,pest_control,19,144,468.75,0.03,0,1
P00377,Hyderabad,pest_control,28,230,538.35,0.03,0,1
P00378,Hyderabad,pest_control,36,289,472.94,0.03,0,1
P00379,Hyderabad,pest_control,9,80,474.77,0.03,0,1
P00380,Hyderabad,pest_control,36,291,507.58,0.03,0,1
P00381,Hyderabad,pest_control,25,193,454.66,0.03,0,1
P00382,Hyderabad,pest_control,27,233,465.12,0.03,0,1
P00383,Hyderabad,pest_control,36,270,470.01,0.03,0,1
P00384,Hyderabad,pest_control,20,133,443.7,0.0301,0,1
P00385,Hyderabad,pest_control,4,34,487.45,0.03,0,1
P00386,Hyderabad,pest_control,6,59,457.03,0.03,0,1
P00387,Hyderabad,pest_control,30,250,540.45,0.03,0,1
P00388,Hyderabad,pest_control,24,184,478.81,0.03,0,1
P00389,Hyderabad,pest_control,27,210,443.36,0.0301,0,1
P00390,Hyderabad,pest_control,2,18,522.12,0.03,0,1
P00391,Hyderabad,pest_control,8,52,504.12,0.03,0,1
P00392,Hyderabad,pest_control,26,172,488.7,0.03,0,1
P00393,Hyderabad,pest_control,3,35,520.7,0.03,0,1
P00394,Hyderabad,pest_control,7,57,529.72,0.03,0,1
P00395,Hyderabad,pest_control,34,268,457.4,0.03,0,1
P00396,Hyderabad,pest_control,23,160,529.63,0.03,0,1
P00397,Hyderabad,pest_control,27,208,517.6,0.03,0,1
P00398,Hyderabad,pest_control,19,139,489.64,0.03,0,1
P00399,Hyderabad,pest_control,19,141,480.73,0.03,0,1
P00400,Hyderabad,pest_control,27,204,537.7,0.03,0,1
